Name;Calories (kcal);Protein (g);Fat;Carbohydrates (g);Fiber (g);Sugar (g)
Boiled egg;78;6;5;0.6;0;0.6
Turkey breast;165;31;3.6;0;0;0
Turkey ham;99;18;2;2;0;0
Chicken breast;120;23;1.5;0;0;0
Chicken ham;98;18;2;2;0;0
Butter;717;0;81;0.1;0;0.1
Olive oil;119;0;14;0;0;0
Flaxseed;534;18;42;28;24;1.6
Almonds;579;21;50;22;12;4.4
Walnuts;654;15;65;14;7;2.6
Pistachios;562;20;45;28;10;7
Hazelnuts;628;14;59;17;10;4.2
Black beans;341;24;1.4;63;16;0
Chickpeas;364;19;6;61;17;10
Green peas;81;5;0.4;14;5;5
Broccoli;34;2.8;0.4;6;2.4;1.5
Spinach;23;2.9;0.4;3.6;2.2;0.4
Cabbage;25;1.5;0.1;5.8;2.5;3.2
Cucumber;15;0.6;0.1;3.6;1;2.8
Tomato;18;0.9;0.2;3.9;1.2;2.6
Carrot;41;0.9;0.2;9.6;2.8;4.7
Beetroot;43;1.6;0.2;9.6;3.8;6.8
Onion;40;1.1;0.1;9.3;1.7;4.2
Garlic;149;6;0.5;33;2.1;1
Ginger;80;2;0.8;18;2;1.7
Apple;52;0.3;0.2;14;2.4;10.4
Banana;89;1.1;0.3;23;2.6;12.2
Orange;47;0.9;0.1;12;2.4;9.4
Mandarin;53;0.8;0.3;13;1.8;10.6
Blackberry;52;0.7;0.7;14;6;7
Raspberry;52;1.2;0.7;14;8;5
Yogurt with strawberry;150;6;2.4;25;0;22.4
Zucchini;15;1.2;0.2;3.1;1;2.2
Eggplant;25;1;0.2;5.7;3;3.5